Designator,Mid X,Mid Y,Rotation,Layer
D1,233.2,-90.3,0.0,top
D2,224.4,-90.2,0.0,top
SW1,190.5,-109.82875,0.0,top
SW2,209.55,-109.82875,0.0,top
SW3,228.7,-109.81,0.0,top
SW4,209.52,-90.77875,0.0,top
U1,170.8,-91.8685,0.0,top
